,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
4539,1.392,0.853,0.558,3.269,2.678,1.657,lefthook
4540,0.058,0.105,0.075,0.089,0.136,0.114,lefthook
4541,0.184,0.281,0.178,0.358,0.258,0.174,rightnopunch
4542,2.739,2.201,1.63,3.382,9.987,10.013,leftuppercut
4543,1.215,1.706,2.335,10.14,8.616,2.738,righthook
4544,0.425,0.194,0.144,0.217,1.048,0.297,lefthook
4545,3.354,2.644,3.012,13.738,15.526,17.166,rightuppercut
4546,1.031,1.596,1.568,3.955,4.249,3.538,rightuppercut
4547,0.692,1.396,0.951,4.554,5.78,1.966,cross
4548,0.09,0.18,0.075,0.31,0.232,0.048,rightnopunch
4549,0.105,0.119,0.114,0.226,0.128,0.155,rightnopunch
4550,0.188,0.248,0.302,0.568,0.282,0.541,cross
4551,0.245,1.192,0.225,0.705,0.224,0.337,cross
4552,1.736,1.411,1.408,3.146,1.529,1.629,righthook
4553,2.317,5.33,2.727,7.871,11.322,8.353,jab
4554,1.046,0.647,0.824,1.655,2.352,2.599,leftuppercut
4555,2.465,2.208,1.696,6.146,10.36,9.614,rightuppercut
4556,1.192,1.681,1.047,3.926,8.043,3.459,lefthook
4557,2.045,2.851,3.2,16.223,14.118,10.727,lefthook
4558,0.436,0.307,0.182,1.159,1.173,1.933,leftnopunch
4559,1.029,3.148,2.212,5.99,5.127,4.883,cross
4560,2.895,2.904,2.69,9.474,9.857,11.415,rightuppercut
4561,0.407,0.246,0.189,0.339,0.156,0.377,leftnopunch
4562,0.641,1.308,1.128,4.787,5.029,2.991,rightuppercut
4563,0.221,0.184,0.171,0.372,0.562,0.593,leftnopunch
4564,2.238,3.298,5.237,20.898,19.347,12.213,righthook
4565,0.644,1.833,0.618,0.5,0.882,0.732,jab
4566,1.855,2.378,2.678,10.632,8.918,7.573,lefthook
4567,0.154,0.194,0.182,0.535,0.44,0.647,leftnopunch
4568,0.642,0.321,0.533,0.759,1.519,0.705,lefthook
4569,1.49,1.236,0.816,2.02,1.79,0.788,righthook
4570,0.362,0.098,0.256,0.351,0.495,0.385,leftnopunch
4571,1.107,0.405,0.353,0.649,1.65,2.281,rightuppercut
4572,0.351,0.191,0.082,0.141,0.367,0.506,leftnopunch
4573,3.56,2.128,1.962,6.769,11.418,12.408,righthook
4574,3.854,1.912,1.362,3.117,8.696,9.611,righthook
4575,0.039,0.145,0.04,0.156,0.087,0.196,cross
4576,0.455,0.277,0.418,0.464,0.3,0.372,leftnopunch
4577,1.119,1.833,3.167,13.208,13.765,10.649,lefthook
4578,0.11,0.129,0.209,0.593,0.289,0.143,rightnopunch
4579,0.729,3.718,1.43,6.456,6.916,4.275,jab
4580,0.691,1.626,0.802,1.602,1.554,1.028,jab
4581,0.962,4.822,2.293,5.579,6.353,4.661,cross
4582,4.015,2.949,1.808,5.221,18.454,17.999,leftuppercut
4583,1.241,1.032,1.283,2.204,7.133,1.818,lefthook
4584,0.756,1.501,0.529,3.682,2.951,2.431,lefthook
4585,1.473,2.307,1.454,5.803,7.843,4.112,lefthook
4586,0.054,0.163,0.065,0.184,0.1,0.246,cross
4587,0.86,1.212,1.173,4.273,4.22,2.26,rightuppercut
4588,2.756,2.902,1.799,3.964,9.813,11.54,rightuppercut
4589,2.44,2.319,3.27,12.53,15.452,11.1,lefthook
4590,0.378,0.202,0.284,0.702,0.444,0.618,leftnopunch
4591,2.125,1.598,1.294,3.606,7.626,5.341,lefthook
4592,0.232,0.406,0.653,2.055,2.756,2.126,rightnopunch
4593,0.134,0.149,0.181,0.389,0.3,0.409,rightnopunch
4594,0.936,1.479,0.624,2.483,3.806,1.245,cross
4595,0.259,0.47,0.583,0.673,1.153,0.614,rightuppercut
4596,5.195,3.277,2.996,9.77,19.687,24.712,rightuppercut
4597,0.341,0.807,0.503,1.333,1.397,0.759,jab
4598,0.024,0.049,0.043,0.093,0.049,0.089,righthook
4599,4.529,2.953,2.476,5.217,13.307,14.766,leftuppercut
4600,1.37,2.11,0.911,2.825,5.006,4.654,jab
4601,0.998,1.574,1.877,11.052,7.265,3.341,rightuppercut
4602,0.344,0.638,0.479,1.43,1.024,0.447,righthook
4603,2.487,2.515,2.61,9.586,8.815,10.855,rightuppercut
4604,1.962,2.186,4.315,21.32,13.344,10.411,righthook
4605,1.218,0.355,0.592,0.579,1.049,1.314,righthook
4606,0.37,0.901,0.439,1.672,0.964,0.615,lefthook
4607,0.813,1.324,1.136,4.795,3.989,4.109,lefthook
4608,1.854,1.574,1.391,5.831,9.542,5.877,lefthook
4609,0.871,1.343,0.529,2.743,1.148,1.608,lefthook
4610,0.64,1.047,0.634,1.609,1.049,0.88,leftuppercut
4611,0.064,0.029,0.033,0.091,0.104,0.063,leftuppercut
4612,1.337,3.681,2.535,9.816,14.054,7.464,cross
4613,3.147,3.377,2.439,5.101,11.548,13.613,rightuppercut
4614,1.072,1.397,1.348,2.911,7.023,2.637,rightuppercut
4615,0.211,0.182,0.208,0.209,0.247,0.566,leftnopunch
4616,0.49,0.264,0.187,0.749,0.321,0.932,leftnopunch
4617,3.729,2.283,1.984,11.127,16.883,13.612,rightuppercut
4618,0.062,0.029,0.081,0.095,0.161,0.084,leftuppercut
4619,1.927,2.618,1.613,2.762,6.858,2.283,jab
4620,1.808,0.425,0.635,1.314,0.805,2.543,rightuppercut
4621,0.723,1.931,0.497,2.179,3.904,4.232,jab
4622,2.707,1.028,2.661,6.771,8.59,8.24,righthook
4623,0.058,0.037,0.103,0.175,0.197,0.076,leftuppercut
4624,0.993,2.762,1.95,3.936,7.996,1.853,cross
4625,0.927,1.979,2.512,10.481,8.06,3.218,cross
4626,0.291,0.391,0.09,1.079,0.416,0.37,cross
4627,0.076,0.073,0.054,0.177,0.182,0.126,righthook
4628,1.548,0.268,0.431,0.995,0.741,1.795,rightuppercut
4629,0.165,0.255,0.116,0.228,0.387,0.47,jab
4630,0.054,0.064,0.027,0.068,0.063,0.116,jab
